qualtrics_id,sub_type,item_number,rev_scoring,response,scored_response
R_3NV67BeT8swOBOf,RA,1,neg,Strongly Disagree,5
R_3NV67BeT8swOBOf,RE,2,NA,Strongly Agree,5
R_3NV67BeT8swOBOf,RA,2,neg,Strongly Disagree,5
R_3NV67BeT8swOBOf,RE,3,neg,2,4
R_3NV67BeT8swOBOf,RE,4,NA,Strongly Agree,5
R_3NV67BeT8swOBOf,RE,5,neg,Strongly Disagree,5
R_3NV67BeT8swOBOf,RA,3,neg,Strongly Disagree,5
R_3NV67BeT8swOBOf,RA,4,neg,Strongly Disagree,5
R_3NV67BeT8swOBOf,RE,6,NA,Strongly Agree,5
R_3NV67BeT8swOBOf,RE,7,neg,Strongly Disagree,5
R_3NV67BeT8swOBOf,RA,5,neg,3,3
R_3NV67BeT8swOBOf,RA,6,NA,Strongly Agree,5
R_3NV67BeT8swOBOf,RA,7,NA,NA,NA
R_3NV67BeT8swOBOf,RE,8,NA,3,3
R_3NV67BeT8swOBOf,RA,8,NA,Strongly Agree,5
R_3NV67BeT8swOBOf,RA,9,NA,Strongly Agree,5
R_3NV67BeT8swOBOf,RE,9,neg,2,4
R_3NV67BeT8swOBOf,RA,10,NA,Strongly Agree,5
R_3NV67BeT8swOBOf,RE,10,NA,4,4
R_3NV67BeT8swOBOf,EE,1,NA,2,2
R_3NV67BeT8swOBOf,EA,1,neg,4,2
R_3NV67BeT8swOBOf,EA,2,NA,2,2
R_3NV67BeT8swOBOf,EA,3,NA,2,2
R_3NV67BeT8swOBOf,EE,2,NA,2,2
R_3NV67BeT8swOBOf,EE,3,NA,2,2
R_3NV67BeT8swOBOf,EA,4,NA,3,3
R_3NV67BeT8swOBOf,EA,5,NA,2,2
R_3NV67BeT8swOBOf,EA,6,neg,4,2
R_3NV67BeT8swOBOf,EE,4,neg,3,3
R_3NV67BeT8swOBOf,EE,5,NA,3,3
R_3NV67BeT8swOBOf,EE,6,neg,4,2
R_3NV67BeT8swOBOf,EE,7,neg,3,3
R_3NV67BeT8swOBOf,EE,8,neg,4,2
R_3NV67BeT8swOBOf,EA,7,NA,2,2
R_3NV67BeT8swOBOf,EE,9,neg,3,3
R_3NV67BeT8swOBOf,EA,8,neg,3,3
R_3NV67BeT8swOBOf,EE,10,NA,2,2
R_3NV67BeT8swOBOf,EA,9,NA,2,2
R_3NV67BeT8swOBOf,EA,10,neg,4,2
R_2dlRKzx851f1Yd9,RE,1,neg,3,3
R_2dlRKzx851f1Yd9,RA,1,neg,3,3
R_2dlRKzx851f1Yd9,RE,2,NA,4,4
R_2dlRKzx851f1Yd9,RA,2,neg,2,4
R_2dlRKzx851f1Yd9,RE,3,neg,3,3
R_2dlRKzx851f1Yd9,RE,4,NA,2,2
R_2dlRKzx851f1Yd9,RE,5,neg,3,3
R_2dlRKzx851f1Yd9,RA,3,neg,3,3
R_2dlRKzx851f1Yd9,RA,4,neg,3,3
R_2dlRKzx851f1Yd9,RE,6,NA,2,2
R_2dlRKzx851f1Yd9,RE,7,neg,3,3
R_2dlRKzx851f1Yd9,RA,5,neg,3,3
R_2dlRKzx851f1Yd9,RA,6,NA,3,3
R_2dlRKzx851f1Yd9,RA,7,NA,4,4
R_2dlRKzx851f1Yd9,RE,8,NA,3,3
R_2dlRKzx851f1Yd9,RA,8,NA,4,4
R_2dlRKzx851f1Yd9,RA,9,NA,3,3
R_2dlRKzx851f1Yd9,RE,9,neg,2,4
R_2dlRKzx851f1Yd9,RA,10,NA,4,4
R_2dlRKzx851f1Yd9,RE,10,NA,3,3
R_2dlRKzx851f1Yd9,EE,1,NA,3,3
R_2dlRKzx851f1Yd9,EA,1,neg,3,3
R_2dlRKzx851f1Yd9,EA,2,NA,3,3
R_2dlRKzx851f1Yd9,EA,3,NA,3,3
R_2dlRKzx851f1Yd9,EE,2,NA,3,3
R_2dlRKzx851f1Yd9,EE,3,NA,3,3
R_2dlRKzx851f1Yd9,EA,4,NA,4,4
R_2dlRKzx851f1Yd9,EA,5,NA,4,4
R_2dlRKzx851f1Yd9,EA,6,neg,2,4
R_2dlRKzx851f1Yd9,EE,4,neg,3,3
R_2dlRKzx851f1Yd9,EE,5,NA,4,4
R_2dlRKzx851f1Yd9,EE,6,neg,2,4
R_2dlRKzx851f1Yd9,EE,7,neg,3,3
R_2dlRKzx851f1Yd9,EE,8,neg,3,3
R_2dlRKzx851f1Yd9,EA,7,NA,2,2
R_2dlRKzx851f1Yd9,EE,9,neg,3,3
R_2dlRKzx851f1Yd9,EA,8,neg,3,3
R_2dlRKzx851f1Yd9,EE,10,NA,3,3
R_2dlRKzx851f1Yd9,EA,9,NA,4,4
R_2dlRKzx851f1Yd9,EA,10,neg,2,4
R_3Mm44PUN5bz3OjI,RE,1,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,RA,1,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,RE,2,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,RA,2,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,RE,3,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,RE,4,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,RE,5,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,RA,3,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,RA,4,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,RE,6,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,RE,7,neg,3,3
R_3Mm44PUN5bz3OjI,RA,5,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,RA,6,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,RA,7,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,RE,8,NA,4,4
R_3Mm44PUN5bz3OjI,RA,8,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,RA,9,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,RE,9,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,RA,10,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,RE,10,NA,Strongly Disagree,1
R_3Mm44PUN5bz3OjI,EE,1,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EA,1,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,EA,2,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EA,3,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EE,2,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EE,3,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EA,4,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EA,5,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EA,6,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,EE,4,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,EE,5,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EE,6,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,EE,7,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,EE,8,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,EA,7,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EE,9,neg,Strongly Disagree,5
R_3Mm44PUN5bz3OjI,EA,8,neg,3,3
R_3Mm44PUN5bz3OjI,EE,10,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EA,9,NA,Strongly Agree,5
R_3Mm44PUN5bz3OjI,EA,10,neg,3,3
R_3kiI8D41vqe0qhI,RE,1,neg,4,2
R_3kiI8D41vqe0qhI,RA,1,neg,2,4
R_3kiI8D41vqe0qhI,RE,2,NA,3,3
R_3kiI8D41vqe0qhI,RA,2,neg,Strongly Disagree,5
R_3kiI8D41vqe0qhI,RE,3,neg,3,3
R_3kiI8D41vqe0qhI,RE,4,NA,3,3
R_3kiI8D41vqe0qhI,RE,5,neg,3,3
R_3kiI8D41vqe0qhI,RA,3,neg,2,4
R_3kiI8D41vqe0qhI,RA,4,neg,2,4
R_3kiI8D41vqe0qhI,RE,6,NA,2,2
R_3kiI8D41vqe0qhI,RE,7,neg,4,2
R_3kiI8D41vqe0qhI,RA,5,neg,4,2
R_3kiI8D41vqe0qhI,RA,6,NA,4,4
R_3kiI8D41vqe0qhI,RA,7,NA,4,4
R_3kiI8D41vqe0qhI,RE,8,NA,3,3
R_3kiI8D41vqe0qhI,RA,8,NA,4,4
R_3kiI8D41vqe0qhI,RA,9,NA,Strongly Agree,5
R_3kiI8D41vqe0qhI,RE,9,neg,2,4
R_3kiI8D41vqe0qhI,RA,10,NA,4,4
R_3kiI8D41vqe0qhI,RE,10,NA,4,4
R_3kiI8D41vqe0qhI,EE,1,NA,2,2
R_3kiI8D41vqe0qhI,EA,1,neg,2,4
R_3kiI8D41vqe0qhI,EA,2,NA,4,4
R_3kiI8D41vqe0qhI,EA,3,NA,3,3
R_3kiI8D41vqe0qhI,EE,2,NA,4,4
R_3kiI8D41vqe0qhI,EE,3,NA,4,4
R_3kiI8D41vqe0qhI,EA,4,NA,4,4
R_3kiI8D41vqe0qhI,EA,5,NA,Strongly Agree,5
R_3kiI8D41vqe0qhI,EA,6,neg,3,3
R_3kiI8D41vqe0qhI,EE,4,neg,4,2
R_3kiI8D41vqe0qhI,EE,5,NA,4,4
R_3kiI8D41vqe0qhI,EE,6,neg,3,3
R_3kiI8D41vqe0qhI,EE,7,neg,3,3
R_3kiI8D41vqe0qhI,EE,8,neg,2,4
R_3kiI8D41vqe0qhI,EA,7,NA,4,4
R_3kiI8D41vqe0qhI,EE,9,neg,3,3
R_3kiI8D41vqe0qhI,EA,8,neg,4,2
R_3kiI8D41vqe0qhI,EE,10,NA,2,2
R_3kiI8D41vqe0qhI,EA,9,NA,4,4
R_3kiI8D41vqe0qhI,EA,10,neg,2,4
R_0SrX3uRtXaupbhv,RE,1,neg,2,4
R_0SrX3uRtXaupbhv,RA,1,neg,Strongly Disagree,5
R_0SrX3uRtXaupbhv,RE,2,NA,4,4
R_0SrX3uRtXaupbhv,RA,2,neg,Strongly Disagree,5
R_0SrX3uRtXaupbhv,RE,3,neg,2,4
R_0SrX3uRtXaupbhv,RE,4,NA,3,3
R_0SrX3uRtXaupbhv,RE,5,neg,2,4
R_0SrX3uRtXaupbhv,RA,3,neg,2,4
R_0SrX3uRtXaupbhv,RA,4,neg,2,4
R_0SrX3uRtXaupbhv,RE,6,NA,3,3
R_0SrX3uRtXaupbhv,RE,7,neg,2,4
R_0SrX3uRtXaupbhv,RA,5,neg,Strongly Disagree,5
R_0SrX3uRtXaupbhv,RA,6,NA,2,2
R_0SrX3uRtXaupbhv,RA,7,NA,3,3
R_0SrX3uRtXaupbhv,RE,8,NA,3,3
R_0SrX3uRtXaupbhv,RA,8,NA,4,4
R_0SrX3uRtXaupbhv,RA,9,NA,3,3
R_0SrX3uRtXaupbhv,RE,9,neg,2,4
R_0SrX3uRtXaupbhv,RA,10,NA,3,3
R_0SrX3uRtXaupbhv,RE,10,NA,4,4
R_0SrX3uRtXaupbhv,EE,1,NA,2,2
R_0SrX3uRtXaupbhv,EA,1,neg,3,3
R_0SrX3uRtXaupbhv,EA,2,NA,2,2
R_0SrX3uRtXaupbhv,EA,3,NA,2,2
R_0SrX3uRtXaupbhv,EE,2,NA,2,2
R_0SrX3uRtXaupbhv,EE,3,NA,2,2
R_0SrX3uRtXaupbhv,EA,4,NA,3,3
R_0SrX3uRtXaupbhv,EA,5,NA,3,3
R_0SrX3uRtXaupbhv,EA,6,neg,2,4
R_0SrX3uRtXaupbhv,EE,4,neg,3,3
R_0SrX3uRtXaupbhv,EE,5,NA,2,2
R_0SrX3uRtXaupbhv,EE,6,neg,4,2
R_0SrX3uRtXaupbhv,EE,7,neg,2,4
R_0SrX3uRtXaupbhv,EE,8,neg,3,3
R_0SrX3uRtXaupbhv,EA,7,NA,2,2
R_0SrX3uRtXaupbhv,EE,9,neg,3,3
R_0SrX3uRtXaupbhv,EA,8,neg,2,4
R_0SrX3uRtXaupbhv,EE,10,NA,2,2
R_0SrX3uRtXaupbhv,EA,9,NA,3,3
R_0SrX3uRtXaupbhv,EA,10,neg,Strongly Disagree,5
R_1jE3EICtKRqcSDb,RE,1,neg,2,4
R_1jE3EICtKRqcSDb,RA,1,neg,4,2
R_1jE3EICtKRqcSDb,RE,2,NA,3,3
R_1jE3EICtKRqcSDb,RA,2,neg,3,3
R_1jE3EICtKRqcSDb,RE,3,neg,3,3
R_1jE3EICtKRqcSDb,RE,4,NA,2,2
R_1jE3EICtKRqcSDb,RE,5,neg,2,4
R_1jE3EICtKRqcSDb,RA,3,neg,2,4
R_1jE3EICtKRqcSDb,RA,4,neg,2,4
R_1jE3EICtKRqcSDb,RE,6,NA,2,2
R_1jE3EICtKRqcSDb,RE,7,neg,3,3
R_1jE3EICtKRqcSDb,RA,5,neg,3,3
R_1jE3EICtKRqcSDb,RA,6,NA,2,2
R_1jE3EICtKRqcSDb,RA,7,NA,4,4
R_1jE3EICtKRqcSDb,RE,8,NA,Strongly Disagree,1
R_1jE3EICtKRqcSDb,RA,8,NA,3,3
R_1jE3EICtKRqcSDb,RA,9,NA,4,4
R_1jE3EICtKRqcSDb,RE,9,neg,2,4
R_1jE3EICtKRqcSDb,RA,10,NA,3,3
R_1jE3EICtKRqcSDb,RE,10,NA,Strongly Agree,5
R_1jE3EICtKRqcSDb,EE,1,NA,4,4
R_1jE3EICtKRqcSDb,EA,1,neg,2,4
R_1jE3EICtKRqcSDb,EA,2,NA,4,4
R_1jE3EICtKRqcSDb,EA,3,NA,4,4
R_1jE3EICtKRqcSDb,EE,2,NA,4,4
R_1jE3EICtKRqcSDb,EE,3,NA,4,4
R_1jE3EICtKRqcSDb,EA,4,NA,2,2
R_1jE3EICtKRqcSDb,EA,5,NA,Strongly Disagree,1
R_1jE3EICtKRqcSDb,EA,6,neg,3,3
R_1jE3EICtKRqcSDb,EE,4,neg,3,3
R_1jE3EICtKRqcSDb,EE,5,NA,4,4
R_1jE3EICtKRqcSDb,EE,6,neg,3,3
R_1jE3EICtKRqcSDb,EE,7,neg,2,4
R_1jE3EICtKRqcSDb,EE,8,neg,2,4
R_1jE3EICtKRqcSDb,EA,7,NA,3,3
R_1jE3EICtKRqcSDb,EE,9,neg,4,2
R_1jE3EICtKRqcSDb,EA,8,neg,3,3
R_1jE3EICtKRqcSDb,EE,10,NA,4,4
R_1jE3EICtKRqcSDb,EA,9,NA,4,4
R_1jE3EICtKRqcSDb,EA,10,neg,3,3
R_u4J8rwDfOmm4gYV,RE,1,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,RA,1,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,RE,2,NA,Strongly Agree,5
R_u4J8rwDfOmm4gYV,RA,2,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,RE,3,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,RE,4,NA,NA,NA
R_u4J8rwDfOmm4gYV,RE,5,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,RA,3,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,RA,4,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,RE,6,NA,Strongly Agree,5
R_u4J8rwDfOmm4gYV,RE,7,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,RA,5,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,RA,6,NA,4,4
R_u4J8rwDfOmm4gYV,RA,7,NA,Strongly Agree,5
R_u4J8rwDfOmm4gYV,RE,8,NA,Strongly Agree,5
R_u4J8rwDfOmm4gYV,RA,8,NA,Strongly Agree,5
R_u4J8rwDfOmm4gYV,RA,9,NA,4,4
R_u4J8rwDfOmm4gYV,RE,9,neg,3,3
R_u4J8rwDfOmm4gYV,RA,10,NA,Strongly Agree,5
R_u4J8rwDfOmm4gYV,RE,10,NA,Strongly Agree,5
R_u4J8rwDfOmm4gYV,EE,1,NA,4,4
R_u4J8rwDfOmm4gYV,EA,1,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,EA,2,NA,4,4
R_u4J8rwDfOmm4gYV,EA,3,NA,4,4
R_u4J8rwDfOmm4gYV,EE,2,NA,4,4
R_u4J8rwDfOmm4gYV,EE,3,NA,3,3
R_u4J8rwDfOmm4gYV,EA,4,NA,4,4
R_u4J8rwDfOmm4gYV,EA,5,NA,4,4
R_u4J8rwDfOmm4gYV,EA,6,neg,2,4
R_u4J8rwDfOmm4gYV,EE,4,neg,Strongly Disagree,5
R_u4J8rwDfOmm4gYV,EE,5,NA,4,4
R_u4J8rwDfOmm4gYV,EE,6,neg,4,2
R_u4J8rwDfOmm4gYV,EE,7,neg,2,4
R_u4J8rwDfOmm4gYV,EE,8,neg,2,4
R_u4J8rwDfOmm4gYV,EA,7,NA,4,4
R_u4J8rwDfOmm4gYV,EE,9,neg,2,4
R_u4J8rwDfOmm4gYV,EA,8,neg,2,4
R_u4J8rwDfOmm4gYV,EE,10,NA,4,4
R_u4J8rwDfOmm4gYV,EA,9,NA,Strongly Agree,5
R_u4J8rwDfOmm4gYV,EA,10,neg,2,4
R_1F9e3CRe4Tb8JhE,RE,1,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,RA,1,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,RE,2,NA,Strongly Agree,5
R_1F9e3CRe4Tb8JhE,RA,2,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,RE,3,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,RE,4,NA,4,4
R_1F9e3CRe4Tb8JhE,RE,5,neg,2,4
R_1F9e3CRe4Tb8JhE,RA,3,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,RA,4,neg,2,4
R_1F9e3CRe4Tb8JhE,RE,6,NA,4,4
R_1F9e3CRe4Tb8JhE,RE,7,neg,2,4
R_1F9e3CRe4Tb8JhE,RA,5,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,RA,6,NA,Strongly Agree,5
R_1F9e3CRe4Tb8JhE,RA,7,NA,Strongly Agree,5
R_1F9e3CRe4Tb8JhE,RE,8,NA,4,4
R_1F9e3CRe4Tb8JhE,RA,8,NA,Strongly Disagree,1
R_1F9e3CRe4Tb8JhE,RA,9,NA,4,4
R_1F9e3CRe4Tb8JhE,RE,9,neg,NA,NA
R_1F9e3CRe4Tb8JhE,RA,10,NA,Strongly Agree,5
R_1F9e3CRe4Tb8JhE,RE,10,NA,Strongly Agree,5
R_1F9e3CRe4Tb8JhE,EE,1,NA,3,3
R_1F9e3CRe4Tb8JhE,EA,1,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,EA,2,NA,2,2
R_1F9e3CRe4Tb8JhE,EA,3,NA,3,3
R_1F9e3CRe4Tb8JhE,EE,2,NA,3,3
R_1F9e3CRe4Tb8JhE,EE,3,NA,4,4
R_1F9e3CRe4Tb8JhE,EA,4,NA,4,4
R_1F9e3CRe4Tb8JhE,EA,5,NA,3,3
R_1F9e3CRe4Tb8JhE,EA,6,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,EE,4,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,EE,5,NA,4,4
R_1F9e3CRe4Tb8JhE,EE,6,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,EE,7,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,EE,8,neg,2,4
R_1F9e3CRe4Tb8JhE,EA,7,NA,4,4
R_1F9e3CRe4Tb8JhE,EE,9,neg,3,3
R_1F9e3CRe4Tb8JhE,EA,8,neg,Strongly Disagree,5
R_1F9e3CRe4Tb8JhE,EE,10,NA,3,3
R_1F9e3CRe4Tb8JhE,EA,9,NA,2,2
R_1F9e3CRe4Tb8JhE,EA,10,neg,3,3
R_Qb1tzaskoeU0kLf,RE,1,neg,Strongly Disagree,5
R_Qb1tzaskoeU0kLf,RA,1,neg,Strongly Disagree,5
R_Qb1tzaskoeU0kLf,RE,2,NA,Strongly Agree,5
R_Qb1tzaskoeU0kLf,RA,2,neg,Strongly Disagree,5
R_Qb1tzaskoeU0kLf,RE,3,neg,Strongly Disagree,5
R_Qb1tzaskoeU0kLf,RE,4,NA,Strongly Agree,5
R_Qb1tzaskoeU0kLf,RE,5,neg,Strongly Disagree,5
R_Qb1tzaskoeU0kLf,RA,3,neg,Strongly Disagree,5
R_Qb1tzaskoeU0kLf,RA,4,neg,Strongly Disagree,5
R_Qb1tzaskoeU0kLf,RE,6,NA,Strongly Agree,5
R_Qb1tzaskoeU0kLf,RE,7,neg,Strongly Disagree,5
R_Qb1tzaskoeU0kLf,RA,5,neg,4,2
R_Qb1tzaskoeU0kLf,RA,6,NA,4,4
R_Qb1tzaskoeU0kLf,RA,7,NA,Strongly Agree,5
R_Qb1tzaskoeU0kLf,RE,8,NA,Strongly Agree,5
R_Qb1tzaskoeU0kLf,RA,8,NA,Strongly Agree,5
R_Qb1tzaskoeU0kLf,RA,9,NA,4,4
R_Qb1tzaskoeU0kLf,RE,9,neg,Strongly Disagree,5
R_Qb1tzaskoeU0kLf,RA,10,NA,Strongly Agree,5
R_Qb1tzaskoeU0kLf,RE,10,NA,4,4
R_Qb1tzaskoeU0kLf,EE,1,NA,3,3
R_Qb1tzaskoeU0kLf,EA,1,neg,2,4
R_Qb1tzaskoeU0kLf,EA,2,NA,3,3
R_Qb1tzaskoeU0kLf,EA,3,NA,3,3
R_Qb1tzaskoeU0kLf,EE,2,NA,3,3
R_Qb1tzaskoeU0kLf,EE,3,NA,2,2
R_Qb1tzaskoeU0kLf,EA,4,NA,2,2
R_Qb1tzaskoeU0kLf,EA,5,NA,3,3
R_Qb1tzaskoeU0kLf,EA,6,neg,4,2
R_Qb1tzaskoeU0kLf,EE,4,neg,2,4
R_Qb1tzaskoeU0kLf,EE,5,NA,4,4
R_Qb1tzaskoeU0kLf,EE,6,neg,4,2
R_Qb1tzaskoeU0kLf,EE,7,neg,4,2
R_Qb1tzaskoeU0kLf,EE,8,neg,2,4
R_Qb1tzaskoeU0kLf,EA,7,NA,3,3
R_Qb1tzaskoeU0kLf,EE,9,neg,3,3
R_Qb1tzaskoeU0kLf,EA,8,neg,Strongly Agree,1
R_Qb1tzaskoeU0kLf,EE,10,NA,2,2
R_Qb1tzaskoeU0kLf,EA,9,NA,3,3
R_Qb1tzaskoeU0kLf,EA,10,neg,3,3
R_1rkpS180enmUysj,RE,1,neg,2,4
R_1rkpS180enmUysj,RA,1,neg,4,2
R_1rkpS180enmUysj,RE,2,NA,3,3
R_1rkpS180enmUysj,RA,2,neg,2,4
R_1rkpS180enmUysj,RE,3,neg,3,3
R_1rkpS180enmUysj,RE,4,NA,2,2
R_1rkpS180enmUysj,RE,5,neg,2,4
R_1rkpS180enmUysj,RA,3,neg,3,3
R_1rkpS180enmUysj,RA,4,neg,4,2
R_1rkpS180enmUysj,RE,6,NA,2,2
R_1rkpS180enmUysj,RE,7,neg,4,2
R_1rkpS180enmUysj,RA,5,neg,Strongly Agree,1
R_1rkpS180enmUysj,RA,6,NA,Strongly Disagree,1
R_1rkpS180enmUysj,RA,7,NA,2,2
R_1rkpS180enmUysj,RE,8,NA,4,4
R_1rkpS180enmUysj,RA,8,NA,2,2
R_1rkpS180enmUysj,RA,9,NA,2,2
R_1rkpS180enmUysj,RE,9,neg,4,2
R_1rkpS180enmUysj,RA,10,NA,2,2
R_1rkpS180enmUysj,RE,10,NA,3,3
R_1rkpS180enmUysj,EE,1,NA,3,3
R_1rkpS180enmUysj,EA,1,neg,2,4
R_1rkpS180enmUysj,EA,2,NA,4,4
R_1rkpS180enmUysj,EA,3,NA,3,3
R_1rkpS180enmUysj,EE,2,NA,4,4
R_1rkpS180enmUysj,EE,3,NA,4,4
R_1rkpS180enmUysj,EA,4,NA,3,3
R_1rkpS180enmUysj,EA,5,NA,2,2
R_1rkpS180enmUysj,EA,6,neg,3,3
R_1rkpS180enmUysj,EE,4,neg,2,4
R_1rkpS180enmUysj,EE,5,NA,4,4
R_1rkpS180enmUysj,EE,6,neg,3,3
R_1rkpS180enmUysj,EE,7,neg,3,3
R_1rkpS180enmUysj,EE,8,neg,2,4
R_1rkpS180enmUysj,EA,7,NA,4,4
R_1rkpS180enmUysj,EE,9,neg,2,4
R_1rkpS180enmUysj,EA,8,neg,4,2
R_1rkpS180enmUysj,EE,10,NA,Strongly Agree,5
R_1rkpS180enmUysj,EA,9,NA,2,2
R_1rkpS180enmUysj,EA,10,neg,3,3
R_2EE1eoKCYITmD0x,RE,1,neg,2,4
R_2EE1eoKCYITmD0x,RA,1,neg,2,4
R_2EE1eoKCYITmD0x,RE,2,NA,4,4
R_2EE1eoKCYITmD0x,RA,2,neg,2,4
R_2EE1eoKCYITmD0x,RE,3,neg,2,4
R_2EE1eoKCYITmD0x,RE,4,NA,4,4
R_2EE1eoKCYITmD0x,RE,5,neg,2,4
R_2EE1eoKCYITmD0x,RA,3,neg,Strongly Disagree,5
R_2EE1eoKCYITmD0x,RA,4,neg,2,4
R_2EE1eoKCYITmD0x,RE,6,NA,4,4
