qualtrics_id,PD_familiarity,task,item,response,strength,choice,preference_type
R_u4J8rwDfOmm4gYV,No,PD,amusement,Slight preference for Program A,Slight,A,proportion
R_u4J8rwDfOmm4gYV,No,PD,recession,Slight preference for Program B,Slight,B,proportion
R_u4J8rwDfOmm4gYV,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_u4J8rwDfOmm4gYV,No,PD,oil,Slight preference for Program B,Slight,B,proportion
R_u4J8rwDfOmm4gYV,No,PD,paper,Slight preference for Program A,Slight,A,proportion
R_1F9e3CRe4Tb8JhE,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_1F9e3CRe4Tb8JhE,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_1F9e3CRe4Tb8JhE,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_1F9e3CRe4Tb8JhE,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_1F9e3CRe4Tb8JhE,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_Qb1tzaskoeU0kLf,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_Qb1tzaskoeU0kLf,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_Qb1tzaskoeU0kLf,No,PD,plants,Slight Preference for Program B,Slight,B,absolute
R_Qb1tzaskoeU0kLf,No,PD,oil,Slight preference for Program A,Slight,A,absolute
R_Qb1tzaskoeU0kLf,No,PD,paper,Slight preference for Program B,Slight,B,absolute
R_1rkpS180enmUysj,"I'm not sure, maybe",PD,amusement,Slight preference for Program B,Slight,B,absolute
R_1rkpS180enmUysj,"I'm not sure, maybe",PD,recession,Slight preference for Program A,Slight,A,absolute
R_1rkpS180enmUysj,"I'm not sure, maybe",PD,plants,Slight Preference for Program B,Slight,B,absolute
R_1rkpS180enmUysj,"I'm not sure, maybe",PD,oil,Definitely Program A,Definitely,A,absolute
R_1rkpS180enmUysj,"I'm not sure, maybe",PD,paper,Definitely Program B,Definitely,B,absolute
R_2EE1eoKCYITmD0x,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_2EE1eoKCYITmD0x,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_2EE1eoKCYITmD0x,No,PD,plants,Slight Preference for Program B,Slight,B,absolute
R_2EE1eoKCYITmD0x,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_2EE1eoKCYITmD0x,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_2cbkPzQkCJBHWyP,Yes,PD,amusement,Slight preference for Program A,Slight,A,proportion
R_2cbkPzQkCJBHWyP,Yes,PD,recession,Definitely Program B,Definitely,B,proportion
R_2cbkPzQkCJBHWyP,Yes,PD,plants,Definitely Program A,Definitely,A,proportion
R_2cbkPzQkCJBHWyP,Yes,PD,oil,Slight preference for Program B,Slight,B,proportion
R_2cbkPzQkCJBHWyP,Yes,PD,paper,Slight preference for Program A,Slight,A,proportion
R_1jTzy25ZCEPdmH8,"I'm not sure, maybe",PD,amusement,Definitely Program B,Definitely,B,absolute
R_1jTzy25ZCEPdmH8,"I'm not sure, maybe",PD,recession,Definitely Program A,Definitely,A,absolute
R_1jTzy25ZCEPdmH8,"I'm not sure, maybe",PD,plants,Definitely Program A,Definitely,A,proportion
R_1jTzy25ZCEPdmH8,"I'm not sure, maybe",PD,oil,Definitely Program A,Definitely,A,absolute
R_1jTzy25ZCEPdmH8,"I'm not sure, maybe",PD,paper,Definitely Program B,Definitely,B,absolute
R_tFgpQ636MClxHSV,"I'm not sure, maybe",PD,amusement,Definitely Program A,Definitely,A,proportion
R_tFgpQ636MClxHSV,"I'm not sure, maybe",PD,recession,Definitely Program B,Definitely,B,proportion
R_tFgpQ636MClxHSV,"I'm not sure, maybe",PD,plants,Definitely Program A,Definitely,A,proportion
R_tFgpQ636MClxHSV,"I'm not sure, maybe",PD,oil,Slight preference for Program A,Slight,A,absolute
R_tFgpQ636MClxHSV,"I'm not sure, maybe",PD,paper,Slight preference for Program A,Slight,A,proportion
R_8AGSWBQpPasvjmp,No,PD,amusement,Slight preference for Program A,Slight,A,proportion
R_8AGSWBQpPasvjmp,No,PD,recession,Slight preference for Program B,Slight,B,proportion
R_8AGSWBQpPasvjmp,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_8AGSWBQpPasvjmp,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_8AGSWBQpPasvjmp,No,PD,paper,Slight preference for Program B,Slight,B,absolute
R_1lid60axyi9vYiM,"I'm not sure, maybe",PD,amusement,Definitely Program A,Definitely,A,proportion
R_1lid60axyi9vYiM,"I'm not sure, maybe",PD,recession,Slight preference for Program B,Slight,B,proportion
R_1lid60axyi9vYiM,"I'm not sure, maybe",PD,plants,Definitely Program A,Definitely,A,proportion
R_1lid60axyi9vYiM,"I'm not sure, maybe",PD,oil,Definitely Program A,Definitely,A,absolute
R_1lid60axyi9vYiM,"I'm not sure, maybe",PD,paper,Slight preference for Program B,Slight,B,absolute
R_1gdWv5GX938t7rt,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_1gdWv5GX938t7rt,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_1gdWv5GX938t7rt,No,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_1gdWv5GX938t7rt,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_1gdWv5GX938t7rt,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_2Yhxe1EG3CUlYJK,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_2Yhxe1EG3CUlYJK,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_2Yhxe1EG3CUlYJK,No,PD,plants,Slight Preference for Program B,Slight,B,absolute
R_2Yhxe1EG3CUlYJK,No,PD,oil,Slight preference for Program A,Slight,A,absolute
R_2Yhxe1EG3CUlYJK,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_1Tv8RlXGXRDH6BX,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_1Tv8RlXGXRDH6BX,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_1Tv8RlXGXRDH6BX,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_1Tv8RlXGXRDH6BX,No,PD,oil,Definitely Program B,Definitely,B,proportion
R_1Tv8RlXGXRDH6BX,No,PD,paper,Slight preference for Program A,Slight,A,proportion
R_2Vsg4M2YZmMyKjz,Yes,PD,amusement,Slight preference for Program A,Slight,A,proportion
R_2Vsg4M2YZmMyKjz,Yes,PD,recession,Slight preference for Program B,Slight,B,proportion
R_2Vsg4M2YZmMyKjz,Yes,PD,plants,Definitely Program A,Definitely,A,proportion
R_2Vsg4M2YZmMyKjz,Yes,PD,oil,Slight preference for Program A,Slight,A,absolute
R_2Vsg4M2YZmMyKjz,Yes,PD,paper,Slight preference for Program B,Slight,B,absolute
R_2zJceBDE6LOaCWz,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_2zJceBDE6LOaCWz,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_2zJceBDE6LOaCWz,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_2zJceBDE6LOaCWz,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_2zJceBDE6LOaCWz,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_stJitSzH6fcoJQl,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_stJitSzH6fcoJQl,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_stJitSzH6fcoJQl,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_stJitSzH6fcoJQl,No,PD,oil,Slight preference for Program B,Slight,B,proportion
R_stJitSzH6fcoJQl,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_3KGtFOTeQp59TIC,"I'm not sure, maybe",PD,amusement,Slight preference for Program A,Slight,A,proportion
R_3KGtFOTeQp59TIC,"I'm not sure, maybe",PD,recession,Slight preference for Program B,Slight,B,proportion
R_3KGtFOTeQp59TIC,"I'm not sure, maybe",PD,plants,Definitely Program A,Definitely,A,proportion
R_3KGtFOTeQp59TIC,"I'm not sure, maybe",PD,oil,Definitely Program A,Definitely,A,absolute
R_3KGtFOTeQp59TIC,"I'm not sure, maybe",PD,paper,Definitely Program A,Definitely,A,proportion
R_2BmMaK6qZ72JwUo,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_2BmMaK6qZ72JwUo,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_2BmMaK6qZ72JwUo,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_2BmMaK6qZ72JwUo,No,PD,oil,Definitely Program B,Definitely,B,proportion
R_2BmMaK6qZ72JwUo,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_3MGMh9Sgp0iytxz,No,PD,amusement,Definitely Program B,Definitely,B,absolute
R_3MGMh9Sgp0iytxz,No,PD,recession,Definitely Program A,Definitely,A,absolute
R_3MGMh9Sgp0iytxz,No,PD,plants,Slight Preference for Program B,Slight,B,absolute
R_3MGMh9Sgp0iytxz,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_3MGMh9Sgp0iytxz,No,PD,paper,Slight preference for Program B,Slight,B,absolute
R_3nNkwMznbY5izlu,Yes,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_3nNkwMznbY5izlu,Yes,PD,recession,Slight preference for Program B,Slight,B,proportion
R_3nNkwMznbY5izlu,Yes,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_3nNkwMznbY5izlu,Yes,PD,oil,Slight preference for Program A,Slight,A,absolute
R_3nNkwMznbY5izlu,Yes,PD,paper,Slight preference for Program B,Slight,B,absolute
R_3CEjKH1BmzA1CDY,Yes,PD,amusement,Definitely Program B,Definitely,B,absolute
R_3CEjKH1BmzA1CDY,Yes,PD,recession,Definitely Program A,Definitely,A,absolute
R_3CEjKH1BmzA1CDY,Yes,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_3CEjKH1BmzA1CDY,Yes,PD,oil,Definitely Program A,Definitely,A,absolute
R_3CEjKH1BmzA1CDY,Yes,PD,paper,Definitely Program B,Definitely,B,absolute
R_1megTnQP8WMXclK,"I'm not sure, maybe",PD,amusement,Definitely Program B,Definitely,B,absolute
R_1megTnQP8WMXclK,"I'm not sure, maybe",PD,recession,Slight preference for Program B,Slight,B,proportion
R_1megTnQP8WMXclK,"I'm not sure, maybe",PD,plants,Slight Preference for Program B,Slight,B,absolute
R_1megTnQP8WMXclK,"I'm not sure, maybe",PD,oil,Definitely Program A,Definitely,A,absolute
R_1megTnQP8WMXclK,"I'm not sure, maybe",PD,paper,Slight preference for Program B,Slight,B,absolute
R_OcAp18mvbm16c3T,No,PD,amusement,Slight preference for Program A,Slight,A,proportion
R_OcAp18mvbm16c3T,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_OcAp18mvbm16c3T,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_OcAp18mvbm16c3T,No,PD,oil,Definitely Program B,Definitely,B,proportion
R_OcAp18mvbm16c3T,No,PD,paper,Slight preference for Program A,Slight,A,proportion
R_1jwVt6I2kp6hzC1,Yes,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_1jwVt6I2kp6hzC1,Yes,PD,recession,Definitely Program A,Definitely,A,absolute
R_1jwVt6I2kp6hzC1,Yes,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_1jwVt6I2kp6hzC1,Yes,PD,oil,Definitely Program A,Definitely,A,absolute
R_1jwVt6I2kp6hzC1,Yes,PD,paper,Definitely Program A,Definitely,A,proportion
R_0V8O8mrLiHO3Ghj,"I'm not sure, maybe",PD,amusement,Slight preference for Program A,Slight,A,proportion
R_0V8O8mrLiHO3Ghj,"I'm not sure, maybe",PD,recession,Definitely Program A,Definitely,A,absolute
R_0V8O8mrLiHO3Ghj,"I'm not sure, maybe",PD,plants,Definitely Program B,Definitely,B,absolute
R_0V8O8mrLiHO3Ghj,"I'm not sure, maybe",PD,oil,Definitely Program A,Definitely,A,absolute
R_0V8O8mrLiHO3Ghj,"I'm not sure, maybe",PD,paper,Slight preference for Program B,Slight,B,absolute
R_3p3Glk1o4y2BcRe,No,PD,amusement,Slight preference for Program A,Slight,A,proportion
R_3p3Glk1o4y2BcRe,No,PD,recession,Slight preference for Program B,Slight,B,proportion
R_3p3Glk1o4y2BcRe,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_3p3Glk1o4y2BcRe,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_3p3Glk1o4y2BcRe,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_BSs3rMfzpVPA9vH,Yes,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_BSs3rMfzpVPA9vH,Yes,PD,recession,Definitely Program B,Definitely,B,proportion
R_BSs3rMfzpVPA9vH,Yes,PD,plants,Definitely Program A,Definitely,A,proportion
R_BSs3rMfzpVPA9vH,Yes,PD,oil,Definitely Program A,Definitely,A,absolute
R_BSs3rMfzpVPA9vH,Yes,PD,paper,Definitely Program B,Definitely,B,absolute
R_38d0yOIMg2IDKPD,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_38d0yOIMg2IDKPD,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_38d0yOIMg2IDKPD,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_38d0yOIMg2IDKPD,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_38d0yOIMg2IDKPD,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_2EygJSPG6ZHxoZT,"I'm not sure, maybe",PD,amusement,Definitely Program B,Definitely,B,absolute
R_2EygJSPG6ZHxoZT,"I'm not sure, maybe",PD,recession,Definitely Program A,Definitely,A,absolute
R_2EygJSPG6ZHxoZT,"I'm not sure, maybe",PD,plants,Slight Preference for Program B,Slight,B,absolute
R_2EygJSPG6ZHxoZT,"I'm not sure, maybe",PD,oil,Definitely Program A,Definitely,A,absolute
R_2EygJSPG6ZHxoZT,"I'm not sure, maybe",PD,paper,Definitely Program B,Definitely,B,absolute
R_27UO1S0s3ieEoLA,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_27UO1S0s3ieEoLA,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_27UO1S0s3ieEoLA,No,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_27UO1S0s3ieEoLA,No,PD,oil,Slight preference for Program B,Slight,B,proportion
R_27UO1S0s3ieEoLA,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_1HhiPBhEZlHHZjR,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_1HhiPBhEZlHHZjR,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_1HhiPBhEZlHHZjR,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_1HhiPBhEZlHHZjR,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_1HhiPBhEZlHHZjR,No,PD,paper,Definitely Program B,Definitely,B,absolute
R_erJc3hejUWXXmtb,No,PD,amusement,Slight preference for Program A,Slight,A,proportion
R_erJc3hejUWXXmtb,No,PD,recession,Slight preference for Program B,Slight,B,proportion
R_erJc3hejUWXXmtb,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_erJc3hejUWXXmtb,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_erJc3hejUWXXmtb,No,PD,paper,Slight preference for Program A,Slight,A,proportion
R_NVYrJklfFqRVOnv,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_NVYrJklfFqRVOnv,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_NVYrJklfFqRVOnv,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_NVYrJklfFqRVOnv,No,PD,oil,Slight preference for Program B,Slight,B,proportion
R_NVYrJklfFqRVOnv,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_1E0SHQwiV6CXRoo,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_1E0SHQwiV6CXRoo,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_1E0SHQwiV6CXRoo,No,PD,plants,Slight Preference for Program B,Slight,B,absolute
R_1E0SHQwiV6CXRoo,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_1E0SHQwiV6CXRoo,No,PD,paper,Slight preference for Program B,Slight,B,absolute
R_3frS5bkaT1hzbPh,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_3frS5bkaT1hzbPh,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_3frS5bkaT1hzbPh,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_3frS5bkaT1hzbPh,No,PD,oil,Slight preference for Program B,Slight,B,proportion
R_3frS5bkaT1hzbPh,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_2xUVpbmJeDe1jXl,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_2xUVpbmJeDe1jXl,No,PD,recession,Definitely Program A,Definitely,A,absolute
R_2xUVpbmJeDe1jXl,No,PD,plants,Slight Preference for Program B,Slight,B,absolute
R_2xUVpbmJeDe1jXl,No,PD,oil,Slight preference for Program A,Slight,A,absolute
R_2xUVpbmJeDe1jXl,No,PD,paper,Slight preference for Program A,Slight,A,proportion
R_2EbOvBx5lJjFEVs,"I'm not sure, maybe",PD,amusement,Slight preference for Program B,Slight,B,absolute
R_2EbOvBx5lJjFEVs,"I'm not sure, maybe",PD,recession,Definitely Program A,Definitely,A,absolute
R_2EbOvBx5lJjFEVs,"I'm not sure, maybe",PD,plants,Slight Preference for Program B,Slight,B,absolute
R_2EbOvBx5lJjFEVs,"I'm not sure, maybe",PD,oil,Slight preference for Program A,Slight,A,absolute
R_2EbOvBx5lJjFEVs,"I'm not sure, maybe",PD,paper,Slight preference for Program A,Slight,A,proportion
R_STy7opVLSgSa2uB,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_STy7opVLSgSa2uB,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_STy7opVLSgSa2uB,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_STy7opVLSgSa2uB,No,PD,oil,Definitely Program B,Definitely,B,proportion
R_STy7opVLSgSa2uB,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_diIFyEHcBgROYzn,Yes,PD,amusement,Definitely Program B,Definitely,B,absolute
R_diIFyEHcBgROYzn,Yes,PD,recession,Definitely Program A,Definitely,A,absolute
R_diIFyEHcBgROYzn,Yes,PD,plants,Definitely Program B,Definitely,B,absolute
R_diIFyEHcBgROYzn,Yes,PD,oil,Definitely Program A,Definitely,A,absolute
R_diIFyEHcBgROYzn,Yes,PD,paper,Definitely Program B,Definitely,B,absolute
R_3QK5ztYed67Jvtt,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_3QK5ztYed67Jvtt,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_3QK5ztYed67Jvtt,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_3QK5ztYed67Jvtt,No,PD,oil,Definitely Program B,Definitely,B,proportion
R_3QK5ztYed67Jvtt,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_241VRfsvJFmogaX,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_241VRfsvJFmogaX,No,PD,recession,Definitely Program A,Definitely,A,absolute
R_241VRfsvJFmogaX,No,PD,plants,Slight Preference for Program B,Slight,B,absolute
R_241VRfsvJFmogaX,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_241VRfsvJFmogaX,No,PD,paper,Slight preference for Program B,Slight,B,absolute
R_Z4dlGjBixAkvcWZ,No,PD,amusement,Slight preference for Program A,Slight,A,proportion
R_Z4dlGjBixAkvcWZ,No,PD,recession,Slight preference for Program B,Slight,B,proportion
R_Z4dlGjBixAkvcWZ,No,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_Z4dlGjBixAkvcWZ,No,PD,oil,Slight preference for Program B,Slight,B,proportion
R_Z4dlGjBixAkvcWZ,No,PD,paper,Slight preference for Program A,Slight,A,proportion
R_1kH6NuS3MFdCgvH,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_1kH6NuS3MFdCgvH,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_1kH6NuS3MFdCgvH,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_1kH6NuS3MFdCgvH,No,PD,oil,Definitely Program B,Definitely,B,proportion
R_1kH6NuS3MFdCgvH,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_2c60t6KOIDTWPQb,No,PD,amusement,Definitely Program A,Definitely,A,proportion
R_2c60t6KOIDTWPQb,No,PD,recession,Definitely Program B,Definitely,B,proportion
R_2c60t6KOIDTWPQb,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_2c60t6KOIDTWPQb,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_2c60t6KOIDTWPQb,No,PD,paper,Definitely Program A,Definitely,A,proportion
R_3NxnmHwGoDxtu4s,Yes,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_3NxnmHwGoDxtu4s,Yes,PD,recession,Definitely Program A,Definitely,A,absolute
R_3NxnmHwGoDxtu4s,Yes,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_3NxnmHwGoDxtu4s,Yes,PD,oil,Definitely Program A,Definitely,A,absolute
R_3NxnmHwGoDxtu4s,Yes,PD,paper,Slight preference for Program B,Slight,B,absolute
R_3imx2cnhkoJOQDk,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_3imx2cnhkoJOQDk,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_3imx2cnhkoJOQDk,No,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_3imx2cnhkoJOQDk,No,PD,oil,Slight preference for Program A,Slight,A,absolute
R_3imx2cnhkoJOQDk,No,PD,paper,Slight preference for Program B,Slight,B,absolute
R_2UbCC7xz1UziliD,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_2UbCC7xz1UziliD,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_2UbCC7xz1UziliD,No,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_2UbCC7xz1UziliD,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_2UbCC7xz1UziliD,No,PD,paper,Slight preference for Program B,Slight,B,absolute
R_3e4uf0BTRRix7Q1,Yes,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_3e4uf0BTRRix7Q1,Yes,PD,recession,Slight preference for Program A,Slight,A,absolute
R_3e4uf0BTRRix7Q1,Yes,PD,plants,Slight Preference for Program B,Slight,B,absolute
R_3e4uf0BTRRix7Q1,Yes,PD,oil,Definitely Program A,Definitely,A,absolute
R_3e4uf0BTRRix7Q1,Yes,PD,paper,Slight preference for Program B,Slight,B,absolute
R_25FgHNiNx7jLHy1,No,PD,amusement,Slight preference for Program A,Slight,A,proportion
R_25FgHNiNx7jLHy1,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_25FgHNiNx7jLHy1,No,PD,plants,Definitely Program A,Definitely,A,proportion
R_25FgHNiNx7jLHy1,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_25FgHNiNx7jLHy1,No,PD,paper,Slight preference for Program A,Slight,A,proportion
R_tMnOA18LivcWZTH,"I'm not sure, maybe",PD,amusement,Slight preference for Program A,Slight,A,proportion
R_tMnOA18LivcWZTH,"I'm not sure, maybe",PD,recession,Slight preference for Program B,Slight,B,proportion
R_tMnOA18LivcWZTH,"I'm not sure, maybe",PD,plants,Slight Preference for Program A,Slight,A,proportion
R_tMnOA18LivcWZTH,"I'm not sure, maybe",PD,oil,Slight preference for Program B,Slight,B,proportion
R_tMnOA18LivcWZTH,"I'm not sure, maybe",PD,paper,Slight preference for Program A,Slight,A,proportion
R_ZrhKf7z3vIvV5Dj,Yes,PD,amusement,Definitely Program B,Definitely,B,absolute
R_ZrhKf7z3vIvV5Dj,Yes,PD,recession,Definitely Program A,Definitely,A,absolute
R_ZrhKf7z3vIvV5Dj,Yes,PD,plants,Definitely Program B,Definitely,B,absolute
R_ZrhKf7z3vIvV5Dj,Yes,PD,oil,Definitely Program A,Definitely,A,absolute
R_ZrhKf7z3vIvV5Dj,Yes,PD,paper,Definitely Program B,Definitely,B,absolute
R_3qQgm6HU6SzL5rW,No,PD,amusement,Slight preference for Program B,Slight,B,absolute
R_3qQgm6HU6SzL5rW,No,PD,recession,Slight preference for Program A,Slight,A,absolute
R_3qQgm6HU6SzL5rW,No,PD,plants,Slight Preference for Program A,Slight,A,proportion
R_3qQgm6HU6SzL5rW,No,PD,oil,Definitely Program A,Definitely,A,absolute
R_3qQgm6HU6SzL5rW,No,PD,paper,Slight preference for Program B,Slight,B,absolute
